TE -- Darren Waller -- BAL
TE -- David Johnson -- SD
TE -- Delanie Walker -- TEN
TE -- Demetrius Harris -- KC
TE -- Derek Carrier -- WAS
TE -- Dion Sims -- MIA
TE -- Dwayne Allen -- IND
TE -- E.J. Bibbs -- CLE
TE -- Ed Dickson -- CAR
TE -- Eric Ebron -- DET
TE -- Garrett Celek -- SF
TE -- Garrett Graham -- HOU
TE -- Gary Barnidge -- CLE
TE -- Gavin Escobar -- DAL
TE -- Geoff Swaim -- DAL
TE -- Greg Olsen -- CAR
TE -- Heath Miller -- PIT
TE -- Jack Doyle -- IND
TE -- Jacob Tamme -- ATL
TE -- Jake Stoneburner -- MIA
TE -- James Hanna -- DAL
TE -- James O'Shaughnessy -- KC
TE -- Jared Cook -- LA
TE -- Jason Witten -- DAL
TE -- Jeff Cumberland -- NYJ
TE -- Jermaine Gresham -- ARI
TE -- Jerome Cunningham -- NYG
TE -- Jesse James -- PIT
TE -- Jim Dray -- CLE
TE -- Jimmy Graham -- SEA
TE -- John Phillips -- SD
TE -- Jordan Cameron -- MIA
TE -- Jordan Reed -- WAS
TE -- Josh Hill -- NO
TE -- Julius Thomas -- JAC
TE -- Justin Perillo -- GB
TE -- Kellen Davis -- NYJ
TE -- Khari Lee -- CHI
TE -- Kyle Rudolph -- MIN
TE -- Ladarius Green -- SD
TE -- Lance Kendricks -- LA
TE -- Larry Donnell -- NYG
TE -- Lee Smith -- OAK
TE -- Levine Toilolo -- ATL
TE -- Luke Stocker -- TB
TE -- Luke Willson -- SEA
TE -- MarQueis Gray -- BUF
TE -- Marcedes Lewis -- JAC
TE -- Martellus Bennett -- CHI
TE -- Matt LaCosse -- NYG
TE -- Matt Spaeth -- PIT
TE -- Matthew Mulligan -- BUF
TE -- Maxx Williams -- BAL
TE -- Michael Hoomanawanui -- NO
TE -- Michael Williams -- NE
TE -- MyCole Pruitt -- MIN
TE -- Mychal Rivera -- OAK
TE -- Nic Jacobs -- JAC
TE -- Nick Boyle -- BAL
TE -- Nick O'Leary -- BUF
TE -- Owen Daniels -- DEN
TE -- Phillip Supernaw -- TEN
TE -- Rhett Ellison -- MIN
TE -- Richard Rodgers -- GB
TE -- Rob Gronkowski -- NE
TE -- Rob Housler -- CHI
TE -- Rob Housler -- CLE
TE -- Ryan Griffin -- HOU
